index,term,polarity,termFrom,termTo,context
2849,food,2,20,24,"If it isn't for the food (A+++), it must be the service or the ambience."
2850,service,2,48,55,"If it isn't for the food (A+++), it must be the service or the ambience."
2851,ambience,2,63,71,"If it isn't for the food (A+++), it must be the service or the ambience."
2852,chef,0,44,48,"During the course of the past 3 months, the chef and staff changed and it was not for the better."
2853,ambience,2,11,19,"I like the ambience, it's very dark and original."
2854,money,0,23,28,"Overall, not worth the money."
2855,prices,0,28,34,This place is not worth the prices.
2856,drink,1,18,23,We left after one drink.
2857,bagels,2,26,32,Pick a bagel has the best bagels in the city.
2858,waiting area,0,68,80,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.
2859,seat,0,89,93,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.
2860,bar,1,101,104,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.
2861,wait,0,16,20,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.
2862,food,0,42,46,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish."
2863,flavor,0,123,129,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish."
2864,dish,0,137,141,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish."
2865,spice,0,98,103,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish."
2866,fried dumplings,2,4,19,The fried dumplings are GREAT!
2867,BBQ ribs,2,38,46,This place has the best Chinese style BBQ ribs in the city.
2868,waiters,1,32,39,Ive been here so many times the waiters know my name.
2869,Argentinian Pizza,1,24,41,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent."
2870,Pelligrino,2,96,106,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent."
2871,pizza,2,110,115,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent."
2872,blue cheese,2,172,183,"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent."
2873,kamasutra,2,5,14,The 'kamasutra' and 'bombay cosmopolitan' are excellent and will have you tipsy in no time.
2874,date spot,2,20,29,This is the perfect date spot for Williamsburg couples.
2875,dim sum,1,4,11,The dim sum here is only so-so.
2876,food,2,27,31,"$6 and there is much tasty food, all of it fresh and continually refilled."
2877,food,2,29,33,"Just straight up cheap, good food."
2878,cost,0,90,94,"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare."
2879,Service,0,0,7,"Service was slow, but the people were friendly."
2880,people,2,26,32,"Service was slow, but the people were friendly."
2881,steak,0,4,9,The steak was very fatty and the sauce was overpowering and not very tasty.
2882,sauce,0,33,38,The steak was very fatty and the sauce was overpowering and not very tasty.
2883,food,2,38,42,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!"
2884,atmosphere,2,60,70,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!"
2885,steak dish,0,65,75,The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).
2886,menu,2,25,29,They have a very diverse menu so its something for everybody.
2887,staff,0,4,9,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.
2888,sushi,1,32,37,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.
2889,check,1,110,115,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.
2890,dinner,1,42,48,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.
2891,bar,1,86,89,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.
2892,food spot,2,89,98,"As a long-time patron of Mamoun's, I always figured that I had found the best late night food spot in the city."
2893,bagel,1,4,9,The bagel was huge.
2894,tuna,2,8,12,Get the tuna of gari.
2895,somosas,2,11,18,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
2896,chai,2,20,24,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
2897,chole,2,34,39,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
2898,dhosas,0,49,55,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
2899,dhal,0,60,64,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing."
2900,prices,0,36,42,Edible but really a ripoff at those prices given whats in the area.
2901,bathroom,0,72,80,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often."
2902,service,2,4,11,The service was the only thing good about this restaurant.
2903,Service,2,0,7,Service- friendly and attentive.
2904,food,2,6,10,"Great food, great decor, great service."
2905,decor,2,18,23,"Great food, great decor, great service."
2906,service,2,31,38,"Great food, great decor, great service."
2907,tables,1,14,20,"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated."
2908,space,1,77,82,"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated."
2909,palak paneer,1,4,16,"The palak paneer was standard, and I was not a fan of the malai kofta."
2910,malai kofta,1,58,69,"The palak paneer was standard, and I was not a fan of the malai kofta."
2911,dining,2,98,104,I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.
2912,price,2,69,74,I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.
2913,service,0,20,27,"Yeah, sometimes the service can be slow."
2914,ambiance,0,13,21,There was no ambiance.
2915,food,2,114,118,"Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service."
2916,service,2,132,139,"Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service."
2917,service,2,4,11,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.
2918,dish,2,61,65,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.
2919,spring rolls,2,98,110,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.
2920,cod with pineapple tempura,2,118,144,The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.
2921,bottle,1,37,43,"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever."
2922,waitress,0,49,57,"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever."
2923,price,0,97,102,"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever."
2924,sushi,2,18,23,"They sell special sushi, everything have a topping, sauce and etc."
2925,sauce,2,52,57,"They sell special sushi, everything have a topping, sauce and etc."
2926,topping,2,43,50,"They sell special sushi, everything have a topping, sauce and etc."
2927,service,2,75,82,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion."
2928,place,0,4,9,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion."
2929,service,2,4,11,The service was excellent and the food was delicious.
2930,food,2,34,38,The service was excellent and the food was delicious.
2931,Service,2,0,7,Service was also very good.
2932,meal,2,90,94,"I took my girlfriend there for her birthday last night and we had a relaxing, really good meal."
2933,qualities,0,63,72,"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!"
2934,food,2,51,55,I'm happy to have Nosh in the neighborhood and the food is very comforting.
2935,atmosphere,2,5,15,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays."
2936,music,2,48,53,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays."
2937,dress cod,0,54,63,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays."
2938,food,2,9,13,love the food.
2939,candles,2,121,128,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.
2940,dinner,2,71,77,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.
2941,surrounding,2,97,108,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.
2942,pictures,2,140,148,I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.
2943,desserts,2,8,16,All the desserts the group tried got favorable reviews.
2944,sake,2,39,43,There's something smooth about sipping sake upper east side style.
2945,place,2,12,17,It's a nice place to relax and have conversation.
2946,Reuben sandwich,2,5,20,Best Reuben sandwich ever!
2947,place,2,31,36,Lucky Strike is a great casual place to just grab a bite to eat.
2948,strawberry daiquiries,2,10,31,Wonderful strawberry daiquiries as well!
2949,dinner,1,64,70,"Going to Volare is like going to your favorite aunt's house for dinner, assuming that your aunt is a great Italian cook."
2950,sushi,0,4,9,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud)."
2951,wait service,0,54,66,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud)."
2952,area,0,161,165,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud)."
2953,Frites,2,0,6,Frites were delicious if a bit on the thick side.
2954,zen feel,2,17,25,Here you get the zen feel without feeling rigid.
2955,drink,1,60,65,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.
2956,bar,1,77,80,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.
2957,wait time,0,109,118,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.
2958,egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork,2,24,104,I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.
2959,table,1,76,81,I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people.
2960,rice congee soup,1,136,152,I keep my fingers crossed the whole subway ride hoping that there will be a table I can sit at by myself and not have to share with the rice congee soup people.
2961,bagel,2,18,23,"Overall, the best bagel in town."
2962,summer rolls,2,18,30,"Light, refreshing summer rolls (not fried) remind me of Vietnamese places in Paris."
2963,sushi,2,4,9,The sushi seemed pretty fresh and was adequately proportioned.
2964,service,0,8,15,but the service was a bit slow.
2965,Spreads,2,0,7,Spreads and toppings are great - though a bit pricey.
2966,toppings,2,12,20,Spreads and toppings are great - though a bit pricey.
2967,pizza,2,97,102,"When I saw that their website had a link to da Ciro in Napoli, I knew there was going to be good pizza!"
2968,plates,1,67,73,No one asked what was wrong as we left with nothing touched on our plates.
2969,Indoor,2,0,6,Indoor was very cozy and cute.
2970,brunch,2,16,22,We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.
2971,mimosas,2,85,92,We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.
2972,prices,0,10,16,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!
2973,prices,0,95,101,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!
2974,food,0,120,124,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!
2975,service,0,129,136,And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!
2976,service,2,4,11,"The service was excellent, the food was excellent, but the entire experience was very cool."
2977,food,2,31,35,"The service was excellent, the food was excellent, but the entire experience was very cool."
2978,service,2,4,11,The service is good and the resturant is clean.
2979,drinks,2,44,50,"Great spot, whether looking for a couple of drinks or quiet dinner."
2980,dinner,2,60,66,"Great spot, whether looking for a couple of drinks or quiet dinner."
2981,spot,2,6,10,"Great spot, whether looking for a couple of drinks or quiet dinner."
2982,dishes,0,26,32,Just stick with the small dishes!
2983,cafe,2,4,8,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better."
2984,outdoor chairs,2,49,63,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better."
2985,tables,2,68,74,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better."
2986,service,0,84,91,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better."
2987,staff,2,36,41,I've rarely had a problem with slow staff in the 10 years I've been going.
2988,Food,2,0,4,Food is excellent.
2989,salads,2,66,72,Although we were looking for regular lettuce and some walnuts the salads we got were great.
2990,lettuce,1,37,44,Although we were looking for regular lettuce and some walnuts the salads we got were great.
2991,lunch buffet,2,10,22,Excellent lunch buffet for only $6.95.
2992,cuisine,0,32,39,"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards."
2993,priced,2,25,31,"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling."
2994,dinner,2,47,53,"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling."
2995,lunch,2,65,70,"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling."
2996,Ambience,2,0,8,"Ambience is so cute and quaint, good for business although we were there on vacation."
2997,portion sizes,2,4,17,"The portion sizes here are huge, and the sushi is good."
2998,sushi,2,41,46,"The portion sizes here are huge, and the sushi is good."
2999,tuna,2,17,21,My boyfriend ate tuna and it was cooked perfectly!
3000,menu,1,25,29,"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special."
3001,pad thai,1,48,56,"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special."
3002,tom yum soup,1,61,73,"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special."
3003,food,2,5,9,"Good food at the restaurant (a bit expensive, but great if you want to impress your date)."
3004,service,2,93,100,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.
3005,food,2,37,41,I have eaten there 3-4 times and the food was always good.
3006,wait,0,29,33,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place."
3007,eats,2,6,10,"great eats, good times."
3008,fish,2,14,18,"Grilled whole fish wonderful, great spicing."
3009,Neapolitan fare,2,91,106,"For years, I thought Tuscan cuisine was the best, but Salvatore converted me to the hearty Neapolitan fare on my first visit."
3010,entrees,0,15,22,"Plus, when our entrees were held up in the kitchen on a busy Saturday night, the owner sent over complimentary summer rolls to hold us over!"
3011,summer rolls,2,111,123,"Plus, when our entrees were held up in the kitchen on a busy Saturday night, the owner sent over complimentary summer rolls to hold us over!"
3012,owner,2,81,86,"Plus, when our entrees were held up in the kitchen on a busy Saturday night, the owner sent over complimentary summer rolls to hold us over!"
3013,lobster teriyaki,2,8,24,Try the lobster teriyaki and the rose special roll.
3014,rose special roll,2,33,50,Try the lobster teriyaki and the rose special roll.
3015,entrees,2,28,35,Another plus is most of the entrees are approx.
3016,food,2,4,8,"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!"
3017,atmosphere,2,28,38,"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!"
3018,place,0,78,83,From the moment we walked in they were more than accomodating even though the place was packed.
3019,service,2,18,25,"I found the food, service and value exceptional everytime I have been there."
3020,value,2,30,35,"I found the food, service and value exceptional everytime I have been there."
3021,food,2,4,8,"The food is definitely good, but I left a bit disappointed."
3022,glass of wine,1,26,39,"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!"
3023,glass of beer,1,46,59,"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!"
3024,dinner,1,73,79,"I am a 100 lb girl, had a glass of wine and a glass of beer prior to the dinner, and I was still HUNGRY after my visit to this place!"
3025,drinks,2,4,10,"The drinks are a saving grace, but service staff, please, get over yourselves."
3026,service staff,0,35,48,"The drinks are a saving grace, but service staff, please, get over yourselves."
3027,delivery guys,0,49,62,There is a downside if you're ordering in -- the delivery guys have MAJOR attitude.
3028,prices,2,4,10,The prices are exceptionally reasonable for food of this caliber.
3029,filet mignon dish,2,4,21,The filet mignon dish was superb!
3030,food,2,50,54,I had been a regular due to the consistently good food and ease of getting a table.
3031,getting a table,2,67,82,I had been a regular due to the consistently good food and ease of getting a table.
3032,place,2,5,10,This place is the most Japanese it can ever get.
3033,food,2,4,8,"The food is good, I can't lie."
3034,food,2,6,10,"great food, lt's of it, more then one person can eat!"
3035,pastrami on challah sandwich,2,55,83,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money."
3036,soups,2,112,117,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money."
3037,knishes,2,142,149,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money."
3038,atmosphere,1,4,14,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo."
3039,atomosphere,2,14,25,Cozy romantic atomosphere with only around 15 tables at most.
3040,tables,2,46,52,Cozy romantic atomosphere with only around 15 tables at most.
3041,beer,2,49,53,This place is worth going even if only for their beer.
3042,scallops,2,23,31,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).
3043,mahi mahi (on saffron risotto,2,40,69,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).
3044,prices,2,33,39,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty."
3045,food,2,80,84,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty."
3046,Go Go Hamburgers,0,15,31,"Do not get the Go Go Hamburgers, no matter what the reviews say."
3047,sandwhiches,2,4,15,The sandwhiches are out-of-this world!
3048,Thia food,2,61,70,"If you live in Upper Manhattan, Siam Square is THE place for Thia food."
3049,food,2,4,8,The food was very well prepared.
3050,spring rolls,2,13,25,Really tasty spring rolls and noodles for a good price though.
3051,noodles,2,30,37,Really tasty spring rolls and noodles for a good price though.
3052,price,2,49,54,Really tasty spring rolls and noodles for a good price though.
3053,dim sum,0,51,58,"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap."
3054,food,2,29,33,"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap."
3055,dishes,1,118,124,"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap."
3056,drinks,0,53,59,"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique."
3057,bars,0,72,76,"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique."
3058,drinks,2,109,115,"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique."
3059,stuff,2,14,19,"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff."
3060,dessert,2,90,97,"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff."
3061,food,0,4,8,"The food arrived 20 minutes after I called, cold and soggy."
3062,pre-theatre menu,2,18,34,"If you go for the pre-theatre menu, it's an even greater deal."
3063,seafood,2,95,102,"If you are someone who appreciates simplicity, elegance, and wonderfully presented and tasting seafood and vegetables regardless of portion size, Kai is your place."
3064,vegetables,2,107,117,"If you are someone who appreciates simplicity, elegance, and wonderfully presented and tasting seafood and vegetables regardless of portion size, Kai is your place."
3065,prices,2,4,10,"The prices cannot be beat for the quality, quantity, freshness and taste."
3066,quality,2,34,41,"The prices cannot be beat for the quality, quantity, freshness and taste."
3067,quantity,2,43,51,"The prices cannot be beat for the quality, quantity, freshness and taste."
3068,freshness,2,53,62,"The prices cannot be beat for the quality, quantity, freshness and taste."
3069,taste,2,67,72,"The prices cannot be beat for the quality, quantity, freshness and taste."
3070,stomach,2,33,40,"Check it out, it won't hurt your stomach or your wallet."
3071,wallet,2,49,55,"Check it out, it won't hurt your stomach or your wallet."
3072,Gnochi,2,95,101,"Little Tonino's is just awesome, our favorite delivery place in Kennsington, honestly the best Gnochi I have ever had!"
3073,FOOD QUALITY,0,27,39,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.
3074,PRICES,0,54,60,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.
3075,meal,2,54,58,I have been about 4 times and have always had a great meal.
3076,line,0,13,17,I go back in line like three times on average until I can't walk anymore.
3077,dinner specials,2,32,47,We usually just get some of the dinner specials and they are very reasonably priced and very tasty.
3078,priced,2,77,83,We usually just get some of the dinner specials and they are very reasonably priced and very tasty.
3079,food,0,9,13,Horrible food and Horrible service.
3080,service,0,27,34,Horrible food and Horrible service.
3081,wine,2,4,8,The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.
3082,fondue,2,66,72,The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.
3083,table grilling,2,76,90,The wine and cheese plate are plentiful and can't wait to try the fondue or table grilling.
3084,food,2,29,33,They treated us well and the food was extremely fresh and well-prepared.
3085,green salad,2,49,60,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.
3086,sweet basil fried tofu,2,110,132,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.
3087,peanut sauce,2,68,80,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.
3088,TOASTING,0,22,30,THE BIG COMPLAINT: NO TOASTING AVAILABLE.
3089,food,2,12,16,"Even if the food wasn't this good, the garden is a great place to sit outside and relax."
3090,garden,2,39,45,"Even if the food wasn't this good, the garden is a great place to sit outside and relax."
3091,place,2,57,62,"Even if the food wasn't this good, the garden is a great place to sit outside and relax."
3092,food,0,4,8,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal."
3093,waiter,0,29,35,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal."
3094,wine,0,69,73,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal."
3095,meal,1,102,106,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal."
3096,chicken,2,4,11,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites."
3097,steak,2,16,21,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites."
3098,lamb sandwhich,2,70,84,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites."
3099,dim sum dish,0,74,86,We saw them heating up at least one frozen item though I'm not sure which dim sum dish it was.
3100,food,2,39,43,No you're going to go back because the food was good.
3101,food,2,4,8,The food was great and the service was even better.
3102,service,2,27,34,The food was great and the service was even better.
3103,rice,2,116,120,"While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees."
3104,entrees,2,129,136,"While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees."
3105,Traditional French decour,2,0,25,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.
3106,hall,0,50,54,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.
3107,fish,2,4,8,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).
3108,wasabi,2,117,123,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).
3109,soy sauce,2,128,137,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).
3110,sea salt,2,167,175,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).
3111,burgers,0,20,27,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them."
3112,cheeseburgers,2,38,51,My son and his girlfriend both wanted cheeseburgers and they were huge!
3113,Unda (Egg) rolls,2,35,51,I really recommend the very simple Unda (Egg) rolls.
3114,wine choices,2,10,22,Very good wine choices.
3115,Jazz,2,78,82,"This is the only Thai place I go too in NYC, it's wonderful, and live relaxed Jazz on certain nights."
3116,lazy susans,2,90,101,"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here."
3117,tables,2,110,116,"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here."
3118,tuna,2,36,40,They showed up 15 minutes after the tuna melt.
3119,steak,2,6,11,"Tasty steak, pork loin, the works."
3120,pork loin,2,13,22,"Tasty steak, pork loin, the works."
3121,table,1,45,50,I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.
3122,wait,0,115,119,I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.
3123,setting,2,75,82,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
3124,service,2,92,99,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.
3125,burger,2,4,10,"The burger was great, also."
3126,discount,0,20,28,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible."
3127,service,0,73,80,"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible."
3128,portions,2,42,50,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!"
3129,food,2,68,72,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!"
3130,Edamame pureed,2,16,30,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
3131,service,0,18,25,"however, it's the service that leaves a bad taste in my mouth."
3132,specials,1,48,56,"When we notified him that he didn't mention the specials, he didn't apologize but let us know that we made a very good decision regardless."
3133,price,2,4,9,The price was extremely reasonable for the appetizers and food we ate.
3134,appetizers,2,43,53,The price was extremely reasonable for the appetizers and food we ate.
3135,food,2,58,62,The price was extremely reasonable for the appetizers and food we ate.
3136,vegetarian dishes,0,31,48,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections."
3137,owner,2,10,15,Kenny the owner is always there and he treats my family like we are part of his family.
3138,sushi,2,46,51,They need a kick out of it but until then the sushi is pretty good and the place is consistent.
3139,lunch,1,41,46,I've had to wait only a few times during lunch but this place is definitely worth the wait.
3140,wait,2,86,90,I've had to wait only a few times during lunch but this place is definitely worth the wait.
3141,food,2,15,19,All in all the food was above average and I would return to see how they operate with four or less dinners.
3142,dinners,1,99,106,All in all the food was above average and I would return to see how they operate with four or less dinners.
3143,food,2,10,14,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!"
3144,service,2,26,33,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!"
3145,atmosphere,2,48,58,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!"
3146,lunch buffet,2,109,121,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!"
3147,lunch,2,157,162,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!"
